# ARISE Variable Summary
# Generated on: 2024-11-05 20:44:56.656847
# Source: /teamspace/s3_connections/ncar-cesm2-arise-bucket/CESM2-WACCM-SSP245/b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001/atm/proc/tseries/month_1
# Total variables: 1007
# Total files: 2014
# Time format: Monthly

========================================================================================================================
Variable             Frequency    # Files    Time Range                                        
jo2_b                h0           2          201501-206412 → 206501-210012
jo3_a                h0           2          201501-206412 → 206501-210012
jo3_b                h0           2          201501-206412 → 206501-210012
jpan                 h0           2          201501-206412 → 206501-210012
kp                   h0           2          201501-206412 → 206501-210012
ncl_a1               h0           2          201501-206412 → 206501-210012
ncl_a1DDF            h0           2          201501-206412 → 206501-210012
ncl_a1SFWET          h0           2          201501-206412 → 206501-210012
ncl_a2               h0           2          201501-206412 → 206501-210012
ncl_a2DDF            h0           2          201501-206412 → 206501-210012
ncl_a2SFWET          h0           2          201501-206412 → 206501-210012
ncl_a3               h0           2          201501-206412 → 206501-210012
ncl_a3DDF            h0           2          201501-206412 → 206501-210012
ncl_a3SFWET          h0           2          201501-206412 → 206501-210012
ncl_c1               h0           2          201501-206412 → 206501-210012
ncl_c1DDF            h0           2          201501-206412 → 206501-210012
ncl_c1SFWET          h0           2          201501-206412 → 206501-210012
ncl_c2               h0           2          201501-206412 → 206501-210012
ncl_c2DDF            h0           2          201501-206412 → 206501-210012
ncl_c2SFWET          h0           2          201501-206412 → 206501-210012
ncl_c3               h0           2          201501-206412 → 206501-210012
ncl_c3DDF            h0           2          201501-206412 → 206501-210012
ncl_c3SFWET          h0           2          201501-206412 → 206501-210012
num_a1               h0           2          201501-206412 → 206501-210012
num_a1DDF            h0           2          201501-206412 → 206501-210012
num_a1_CLXF          h0           2          201501-206412 → 206501-210012
num_a2               h0           2          201501-206412 → 206501-210012
num_a2DDF            h0           2          201501-206412 → 206501-210012
num_a2_CLXF          h0           2          201501-206412 → 206501-210012
num_a2_sfnnuc1       h0           2          201501-206412 → 206501-210012
num_a3               h0           2          201501-206412 → 206501-210012
num_a3DDF            h0           2          201501-206412 → 206501-210012
num_a4               h0           2          201501-206412 → 206501-210012
num_a4DDF            h0           2          201501-206412 → 206501-210012
num_c1               h0           2          201501-206412 → 206501-210012
num_c1DDF            h0           2          201501-206412 → 206501-210012
num_c2               h0           2          201501-206412 → 206501-210012
num_c2DDF            h0           2          201501-206412 → 206501-210012
num_c3               h0           2          201501-206412 → 206501-210012
num_c3DDF            h0           2          201501-206412 → 206501-210012
num_c4               h0           2          201501-206412 → 206501-210012
num_c4DDF            h0           2          201501-206412 → 206501-210012
pom_a1               h0           2          201501-206412 → 206501-210012
pom_a1DDF            h0           2          201501-206412 → 206501-210012
pom_a1SFWET          h0           2          201501-206412 → 206501-210012
pom_a4               h0           2          201501-206412 → 206501-210012
pom_a4DDF            h0           2          201501-206412 → 206501-210012
pom_a4SFWET          h0           2          201501-206412 → 206501-210012
pom_c1               h0           2          201501-206412 → 206501-210012
pom_c1DDF            h0           2          201501-206412 → 206501-210012
pom_c1SFWET          h0           2          201501-206412 → 206501-210012
pom_c4               h0           2          201501-206412 → 206501-210012
pom_c4DDF            h0           2          201501-206412 → 206501-210012
pom_c4SFWET          h0           2          201501-206412 → 206501-210012
r_GLYOXAL_aer        h0           2          201501-206412 → 206501-210012
r_HO2_O3             h0           2          201501-206412 → 206501-210012
r_N2O5_aer           h0           2          201501-206412 → 206501-210012
r_NO2_aer            h0           2          201501-206412 → 206501-210012
r_NO3_aer            h0           2          201501-206412 → 206501-210012
r_O1D_H2O            h0           2          201501-206412 → 206501-210012
r_OH_O               h0           2          201501-206412 → 206501-210012
r_OH_O3              h0           2          201501-206412 → 206501-210012
r_het1               h0           2          201501-206412 → 206501-210012
r_het10              h0           2          201501-206412 → 206501-210012
r_het11              h0           2          201501-206412 → 206501-210012
r_het12              h0           2          201501-206412 → 206501-210012
r_het13              h0           2          201501-206412 → 206501-210012
r_het15              h0           2          201501-206412 → 206501-210012
r_het16              h0           2          201501-206412 → 206501-210012
r_het17              h0           2          201501-206412 → 206501-210012
r_het2               h0           2          201501-206412 → 206501-210012
r_het3               h0           2          201501-206412 → 206501-210012
r_het4               h0           2          201501-206412 → 206501-210012
r_het5               h0           2          201501-206412 → 206501-210012
r_het6               h0           2          201501-206412 → 206501-210012
r_het7               h0           2          201501-206412 → 206501-210012
r_het8               h0           2          201501-206412 → 206501-210012
r_het9               h0           2          201501-206412 → 206501-210012
r_jsoa1_a1           h0           2          201501-206412 → 206501-210012
r_jsoa1_a2           h0           2          201501-206412 → 206501-210012
r_jsoa2_a1           h0           2          201501-206412 → 206501-210012
r_jsoa2_a2           h0           2          201501-206412 → 206501-210012
r_jsoa3_a1           h0           2          201501-206412 → 206501-210012
r_jsoa3_a2           h0           2          201501-206412 → 206501-210012
r_jsoa4_a1           h0           2          201501-206412 → 206501-210012
r_jsoa4_a2           h0           2          201501-206412 → 206501-210012
r_jsoa5_a1           h0           2          201501-206412 → 206501-210012
r_jsoa5_a2           h0           2          201501-206412 → 206501-210012
so4_a1               h0           2          201501-206412 → 206501-210012
so4_a1DDF            h0           2          201501-206412 → 206501-210012
so4_a1SFWET          h0           2          201501-206412 → 206501-210012
so4_a1_CHMP          h0           2          201501-206412 → 206501-210012
so4_a1_CLXF          h0           2          201501-206412 → 206501-210012
so4_a1_sfgaex1       h0           2          201501-206412 → 206501-210012
so4_a2               h0           2          201501-206412 → 206501-210012
so4_a2DDF            h0           2          201501-206412 → 206501-210012
so4_a2SFWET          h0           2          201501-206412 → 206501-210012
so4_a2_CHMP          h0           2          201501-206412 → 206501-210012
so4_a2_CLXF          h0           2          201501-206412 → 206501-210012
so4_a2_sfgaex1       h0           2          201501-206412 → 206501-210012
so4_a2_sfnnuc1       h0           2          201501-206412 → 206501-210012
so4_a3               h0           2          201501-206412 → 206501-210012
so4_a3DDF            h0           2          201501-206412 → 206501-210012
so4_a3SFWET          h0           2          201501-206412 → 206501-210012
so4_a3_sfgaex1       h0           2          201501-206412 → 206501-210012
so4_c1               h0           2          201501-206412 → 206501-210012
so4_c1AQH2SO4        h0           2          201501-206412 → 206501-210012
so4_c1AQSO4          h0           2          201501-206412 → 206501-210012
so4_c1DDF            h0           2          201501-206412 → 206501-210012
so4_c1SFWET          h0           2          201501-206412 → 206501-210012
so4_c2               h0           2          201501-206412 → 206501-210012
so4_c2AQH2SO4        h0           2          201501-206412 → 206501-210012
so4_c2AQSO4          h0           2          201501-206412 → 206501-210012
so4_c2DDF            h0           2          201501-206412 → 206501-210012
so4_c2SFWET          h0           2          201501-206412 → 206501-210012
so4_c3               h0           2          201501-206412 → 206501-210012
so4_c3AQH2SO4        h0           2          201501-206412 → 206501-210012
so4_c3AQSO4          h0           2          201501-206412 → 206501-210012
so4_c3DDF            h0           2          201501-206412 → 206501-210012
so4_c3SFWET          h0           2          201501-206412 → 206501-210012
soa1_a1              h0           2          201501-206412 → 206501-210012
soa1_a1DDF           h0           2          201501-206412 → 206501-210012
soa1_a1SFWET         h0           2          201501-206412 → 206501-210012
soa1_a1_CHML         h0           2          201501-206412 → 206501-210012
soa1_a1_sfgaex1      h0           2          201501-206412 → 206501-210012
soa1_a2              h0           2          201501-206412 → 206501-210012
soa1_a2DDF           h0           2          201501-206412 → 206501-210012
soa1_a2SFWET         h0           2          201501-206412 → 206501-210012
soa1_a2_CHML         h0           2          201501-206412 → 206501-210012
soa1_a2_sfgaex1      h0           2          201501-206412 → 206501-210012
soa1_c1              h0           2          201501-206412 → 206501-210012
soa1_c1DDF           h0           2          201501-206412 → 206501-210012
soa1_c1SFWET         h0           2          201501-206412 → 206501-210012
soa1_c2              h0           2          201501-206412 → 206501-210012
soa1_c2DDF           h0           2          201501-206412 → 206501-210012
soa1_c2SFWET         h0           2          201501-206412 → 206501-210012
soa2_a1              h0           2          201501-206412 → 206501-210012
soa2_a1DDF           h0           2          201501-206412 → 206501-210012
soa2_a1SFWET         h0           2          201501-206412 → 206501-210012
soa2_a1_CHML         h0           2          201501-206412 → 206501-210012
soa2_a1_sfgaex1      h0           2          201501-206412 → 206501-210012
soa2_a2              h0           2          201501-206412 → 206501-210012
soa2_a2DDF           h0           2          201501-206412 → 206501-210012
soa2_a2SFWET         h0           2          201501-206412 → 206501-210012
soa2_a2_CHML         h0           2          201501-206412 → 206501-210012
soa2_a2_sfgaex1      h0           2          201501-206412 → 206501-210012
soa2_c1              h0           2          201501-206412 → 206501-210012
soa2_c1DDF           h0           2          201501-206412 → 206501-210012
soa2_c1SFWET         h0           2          201501-206412 → 206501-210012
soa2_c2              h0           2          201501-206412 → 206501-210012
soa2_c2DDF           h0           2          201501-206412 → 206501-210012
soa2_c2SFWET         h0           2          201501-206412 → 206501-210012
soa3_a1              h0           2          201501-206412 → 206501-210012
soa3_a1DDF           h0           2          201501-206412 → 206501-210012
soa3_a1SFWET         h0           2          201501-206412 → 206501-210012
soa3_a1_CHML         h0           2          201501-206412 → 206501-210012
soa3_a1_sfgaex1      h0           2          201501-206412 → 206501-210012
soa3_a2              h0           2          201501-206412 → 206501-210012
soa3_a2DDF           h0           2          201501-206412 → 206501-210012
soa3_a2SFWET         h0           2          201501-206412 → 206501-210012
soa3_a2_CHML         h0           2          201501-206412 → 206501-210012
soa3_a2_sfgaex1      h0           2          201501-206412 → 206501-210012
soa3_c1              h0           2          201501-206412 → 206501-210012
soa3_c1DDF           h0           2          201501-206412 → 206501-210012
soa3_c1SFWET         h0           2          201501-206412 → 206501-210012
soa3_c2              h0           2          201501-206412 → 206501-210012
soa3_c2DDF           h0           2          201501-206412 → 206501-210012
soa3_c2SFWET         h0           2          201501-206412 → 206501-210012
soa4_a1              h0           2          201501-206412 → 206501-210012
soa4_a1DDF           h0           2          201501-206412 → 206501-210012
soa4_a1SFWET         h0           2          201501-206412 → 206501-210012
soa4_a1_CHML         h0           2          201501-206412 → 206501-210012
soa4_a1_sfgaex1      h0           2          201501-206412 → 206501-210012
soa4_a2              h0           2          201501-206412 → 206501-210012
soa4_a2DDF           h0           2          201501-206412 → 206501-210012
soa4_a2SFWET         h0           2          201501-206412 → 206501-210012
soa4_a2_CHML         h0           2          201501-206412 → 206501-210012
soa4_a2_sfgaex1      h0           2          201501-206412 → 206501-210012
soa4_c1              h0           2          201501-206412 → 206501-210012
soa4_c1DDF           h0           2          201501-206412 → 206501-210012
soa4_c1SFWET         h0           2          201501-206412 → 206501-210012
soa4_c2              h0           2          201501-206412 → 206501-210012
soa4_c2DDF           h0           2          201501-206412 → 206501-210012
soa4_c2SFWET         h0           2          201501-206412 → 206501-210012
soa5_a1              h0           2          201501-206412 → 206501-210012
soa5_a1DDF           h0           2          201501-206412 → 206501-210012
soa5_a1SFWET         h0           2          201501-206412 → 206501-210012
soa5_a1_CHML         h0           2          201501-206412 → 206501-210012
soa5_a1_sfgaex1      h0           2          201501-206412 → 206501-210012
soa5_a2              h0           2          201501-206412 → 206501-210012
soa5_a2DDF           h0           2          201501-206412 → 206501-210012
soa5_a2SFWET         h0           2          201501-206412 → 206501-210012
soa5_a2_CHML         h0           2          201501-206412 → 206501-210012
soa5_a2_sfgaex1      h0           2          201501-206412 → 206501-210012
soa5_c1              h0           2          201501-206412 → 206501-210012
soa5_c1DDF           h0           2          201501-206412 → 206501-210012
soa5_c1SFWET         h0           2          201501-206412 → 206501-210012
soa5_c2              h0           2          201501-206412 → 206501-210012
soa5_c2DDF           h0           2          201501-206412 → 206501-210012
soa5_c2SFWET         h0           2          201501-206412 → 206501-210012
wet_deposition_NHx_as_N h0           2          201501-206412 → 206501-210012
wet_deposition_NOy_as_N h0           2          201501-206412 → 206501-210012

========================================================================================================================

Detailed File Listings by Variable:


### ABSORB ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.ABSORB.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.ABSORB.206501-210012.nc


### ACBZO2 ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.ACBZO2.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.ACBZO2.206501-210012.nc


### ACTREL ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.ACTREL.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.ACTREL.206501-210012.nc


### ADRAIN ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.ADRAIN.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.ADRAIN.206501-210012.nc


### ADSNOW ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.ADSNOW.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.ADSNOW.206501-210012.nc


### AEROD_v ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AEROD_v.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AEROD_v.206501-210012.nc


### ALKNIT ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.ALKNIT.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.ALKNIT.206501-210012.nc


### ALKO2 ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.ALKO2.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.ALKO2.206501-210012.nc


### ALKOOH ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.ALKOOH.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.ALKOOH.206501-210012.nc


### ANRAIN ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.ANRAIN.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.ANRAIN.206501-210012.nc


### ANSNOW ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.ANSNOW.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.ANSNOW.206501-210012.nc


### AOA1 ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AOA1.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AOA1.206501-210012.nc


### AOA2 ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AOA2.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AOA2.206501-210012.nc


### AOA_NH ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AOA_NH.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AOA_NH.206501-210012.nc


### AODABSdn ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODABSdn.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODABSdn.206501-210012.nc


### AODBCdn ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODBCdn.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODBCdn.206501-210012.nc


### AODDUST ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODDUST.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODDUST.206501-210012.nc


### AODDUST1 ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODDUST1.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODDUST1.206501-210012.nc


### AODDUST2 ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODDUST2.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODDUST2.206501-210012.nc


### AODDUST3 ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODDUST3.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODDUST3.206501-210012.nc


### AODNIRstdn ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODNIRstdn.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODNIRstdn.206501-210012.nc


### AODPOMdn ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODPOMdn.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODPOMdn.206501-210012.nc


### AODSO4dn ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODSO4dn.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODSO4dn.206501-210012.nc


### AODSOAdn ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODSOAdn.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODSOAdn.206501-210012.nc


### AODSSdn ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODSSdn.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODSSdn.206501-210012.nc


### AODUVdn ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODUVdn.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODUVdn.206501-210012.nc


### AODUVstdn ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODUVstdn.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODUVstdn.206501-210012.nc


### AODVIS ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODVIS.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODVIS.206501-210012.nc


### AODVISdn ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODVISdn.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODVISdn.206501-210012.nc


### AODVISstdn ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODVISstdn.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODVISstdn.206501-210012.nc


### AODdnDUST1 ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODdnDUST1.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODdnDUST1.206501-210012.nc


### AODdnDUST2 ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODdnDUST2.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODdnDUST2.206501-210012.nc


### AODdnDUST3 ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODdnDUST3.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODdnDUST3.206501-210012.nc


### AODdnMODE1 ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODdnMODE1.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODdnMODE1.206501-210012.nc


### AODdnMODE2 ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODdnMODE2.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODdnMODE2.206501-210012.nc


### AODdnMODE3 ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODdnMODE3.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AODdnMODE3.206501-210012.nc


### AQRAIN ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AQRAIN.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AQRAIN.206501-210012.nc


### AQSNOW ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AQSNOW.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AQSNOW.206501-210012.nc


### AQ_SO2 ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AQ_SO2.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AQ_SO2.206501-210012.nc


### AREA ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AREA.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AREA.206501-210012.nc


### AREI ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AREI.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AREI.206501-210012.nc


### AREL ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AREL.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AREL.206501-210012.nc


### AWNC ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AWNC.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AWNC.206501-210012.nc


### AWNI ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AWNI.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.AWNI.206501-210012.nc


### BCARY ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.BCARY.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.BCARY.206501-210012.nc


### BENZENE ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.BENZENE.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.BENZENE.206501-210012.nc


### BENZO2 ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.BENZO2.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.BENZO2.206501-210012.nc


### BENZOOH ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.BENZOOH.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.BENZOOH.206501-210012.nc


### BEPOMUC ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.BEPOMUC.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.BEPOMUC.206501-210012.nc


### BIGALD ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.BIGALD.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.BIGALD.206501-210012.nc


### BIGALD1 ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.BIGALD1.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.BIGALD1.206501-210012.nc


### BIGALD2 ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.BIGALD2.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.BIGALD2.206501-210012.nc


### BIGALD3 ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.BIGALD3.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.BIGALD3.206501-210012.nc


### BIGALD4 ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.BIGALD4.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.BIGALD4.206501-210012.nc


### BIGALK ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.BIGALK.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.BIGALK.206501-210012.nc


### BIGENE ###
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.BIGENE.201501-206412.nc
b.e21.BWSSP245cmip6.f09_g17.CMIP6-SSP2-4.5-WACCM.001.cam.h0.BIGENE.206501-210012.nc


### BR ###
